RagioneSociale,NomeVigneto,Oidium_Risk_Percent_07/26-08/01,Peronospora_Risk_Percent_07/26-08/01,Avg_Risk_Percent_07/26-08/01,Probabilita_OIDIO_26/07,Probabilita_PERONOSPORA_26/07
Aquilini Red Mountain vineyards LP,22,39.3,66.8,53.0,,
Tenuta Campo al Mare,Cabernet sauvignon C08 - Segalari,32.1,66.6,49.4,44.95,4.41
Masciarelli - Provincia di Teramo,MP corropoli ovest,38.2,66.5,52.4,71.63,8.81
Casale dello Sparviero,Sangiovese  Piaggione 3,32.2,66.4,49.3,88.81,11.43
PETROLO,VALDARNO ,35.5,66.4,51.0,83.68,13.49
Andrea Addis,Azolu storico,35.3,66.4,50.8,0.0,0.0
CAPICHERA,ISOLA DEI NURAGHE,33.2,66.2,49.7,0.0,0.0
Lodovico Antinori - Tenuta del Nicchio,CF C - Gli Scogli,32.5,65.9,49.2,40.67,3.81
Camarcanda,vermentino crescenzi vecchio,32.5,65.7,49.1,40.67,3.81
Pugliesi Camillo,Pinot Grigio,39.1,65.7,52.4,0.3,0.02
Bentu Luna,Melachisi - Tiana,34.8,65.3,50.1,31.07,3.63
Masciarelli - Provincia di Pescara,Mp cocciapazza sud,36.3,65.2,50.8,84.54,21.2
Todini,Petit Verdot Ceccarelli,31.7,65.2,48.5,64.42,11.23
Az. Agr. Proietti,Cesanese D'Affile01,33.4,65.0,49.2,54.0,5.07
nan,GOLAN,40.2,64.9,52.6,0.0,0.0
Montemelino,merlot Vigna alta,33.9,64.8,49.4,85.13,12.45
DI MAJO,MOLISE,42.0,64.8,53.4,69.35,8.2
Camillo Pugliesi,Catarratto 2015_Cardella,38.4,64.6,51.5,31.99,5.79
Az. Agricola Bernardini Marco,Rebola nord,34.5,64.5,49.5,80.96,39.14
CONCHA Y TORO,MAIPPO VALLEY,64.4,17.4,40.9,47.22,7.28
Azienda Vitivinicola Di Legami di Sebastiano Polinas,Viognier sotto casa,40.9,64.3,52.6,0.0,0.0
Masciarelli - Provincia di Chieti,Mp cimitero Ripa,35.2,64.1,49.7,78.77,10.85
Bodegas Vega Sicilia,Ribera del Duero,45.5,64.0,54.8,0.0,0.0
ZORAH,ARMENIA,38.8,63.9,51.4,4.03,0.5
DONNAFUGATA,PANTELLERIA,38.5,63.9,51.2,0.0,0.0
Bentu Luna,Murtatí - Crobu/Cannonau,35.0,63.7,49.4,24.4,2.7
Tenuta di Nozzole ,pre impianto,34.6,63.6,49.1,82.84,28.76
Giovanna Madonia,CH20sangFIVI,39.0,63.6,51.3,87.24,29.63
Blasi Mauro,sagrantino Nello,37.9,63.5,50.7,88.54,14.12
Blasi Mauro,fleurtai Sopra Nello,37.9,63.5,50.7,85.91,10.74
Fattoria Colsanto,sagrantino sotto cantina,37.5,63.4,50.4,91.43,14.19
La Tenuta di Teo D'Oro Srl,Vermentino - Zona A,40.2,63.3,51.7,0.0,0.0
Dominio De Pingus,Ribera del Duero,45.4,63.2,54.3,0.0,0.0
Bentu Luna,San Mauro - Pitzalis,39.9,63.1,51.5,24.4,2.7
Bentu Luna,Niu de crobu - mandrolisai,35.9,63.1,49.5,20.8,2.32
Dimaglie,Negroamaro pozzo,40.0,62.8,51.4,0.33,0.02
Tenuta la Fuga,Sangiovese M07 - Il Poggione 2013,34.7,62.5,48.6,79.9,13.28
HAUNER,LIPARI,38.6,62.4,50.5,0.0,0.0
Azienda Vitivinicola Di Legami di Sebastiano Polinas,Perricone dx,41.6,62.4,52.0,0.0,0.0
Azienda Vitivinicola Di Legami di Sebastiano Polinas,Grillo 3000 p,41.2,62.3,51.8,0.0,0.0
Bentu Luna,Tuvoli - Forteleoni,35.5,62.1,48.8,31.07,3.63
Bentu Luna,Trattales2 - Crobu,35.5,62.1,48.8,31.07,3.63
TERRAZAS DE LOS ANDES,MENDOZA,62.0,24.3,43.2,0.0,0.0
Moncaro,verdicchio Mancini ,42.6,62.0,52.3,79.19,26.11
Alessandro Giarraputo,Grecanico,38.6,62.0,50.3,0.0,0.0
Sebastiano Polinas,vermentino,36.1,61.9,49.0,5.53,0.57
Mustilli,Falanghina cf masseria,35.5,61.9,48.7,52.53,5.59
Az. Agr. Luigi Maffini,Denazzano Aglianico 3 Alto FIVI,38.0,61.9,49.9,47.85,6.83
Bentu Luna,Pelda lada - Zedde,39.6,61.8,50.7,28.87,3.22
ValdiTerme - S. Antonio,Sangiovese/Morellino_01,34.9,61.7,48.3,79.54,9.15
UNISS,Campo 21 cv bianche,39.6,61.6,50.6,1.73,0.09
NON USARE,falanghina ,37.4,61.5,49.4,59.55,6.37
ProVitis,Merlot_CV_06,43.4,61.5,52.4,0.0,0.0
ilaria addis,Vermentino,42.1,61.4,51.7,0.0,0.0
Fattoria Colsanto,Sagrantino Argine,37.6,61.3,49.5,91.43,14.19
nan,PATAGONIA,61.3,22.2,41.8,4.0,0.5
Azienda Vitivinicola Di Legami di Sebastiano Polinas,Nero D'Avola alto,41.5,61.3,51.4,0.0,0.0
TIKVES - PRIVATNO LOZJE,Vranec,42.9,61.2,52.1,2.83,0.29
Vigne a Porrona,Sangiovese P03 - Vigneto 3,36.8,61.0,48.9,69.09,8.76
Parrinello Antonino ,Bordino Grillo,42.4,60.9,51.6,0.0,0.0
Azienda agricola Antonella Corda,Mitza manna vrm,40.8,60.8,50.8,0.0,0.0
SANTA BARBARA,VERDICCHIO DI JESI,44.1,60.7,52.4,82.49,31.58
TIKVES - VENEC DISAN,Vranec muratov Dol,43.5,60.7,52.1,0.0,0.0
Fradiles,ziu munduddu storico,38.6,60.6,49.6,20.8,2.32
TIKVES - PRIVATNO LOZJE,Riesling Italico - Intelko 3 -,46.0,60.6,53.3,0.0,0.0
Di Filippo,Sagrantino_ Nucciarelli,38.1,60.5,49.3,41.67,4.45
Di Filippo,Barbera_Santa Lucia,38.1,60.5,49.3,41.67,4.45
Sebastiano Polinas,Nebbiolo,36.3,60.4,48.4,3.62,0.33
Azienda agricola Antonella Corda,Mitza S’Ollastu Vermentino Cantins,41.7,60.3,51.0,0.0,0.0
Cantina Dionigi,Merlot rosso di Montefalco_Madonna della Pia Sud,38.8,60.3,49.6,91.43,14.19
Botromagno,Greco ciliegi,47.3,60.3,53.8,25.33,2.16
Terre Margaritelli,Viogner Chiusaccia,37.0,60.2,48.6,49.76,5.94
Toro Albala,Montilla Moriles,43.9,60.2,52.0,0.0,0.0
ARGIOLAS,ISOLA DEI NURAGHE,40.9,60.1,50.5,0.0,0.0
Bentu Luna,Angraris - Pisano 119 anni,38.7,59.8,49.3,20.8,2.32
Fattoria Zerbina,Ancellotta ,38.0,59.7,48.8,88.63,28.75
TIKVES - PRIVATNO LOZJE,Temjanika - Томе Јованов -78936,47.5,59.7,53.6,0.0,0.0
La Collina del Tesoro società semplice agricola,Sangiovese Colombara Alta,37.4,59.7,48.5,88.26,28.11
Poderi Marini,Santagata Sauvignon,42.9,59.7,51.3,50.2,5.18
Amastuola,lambrusco V 10,43.9,59.6,51.8,12.33,1.21
Quintodecimo srl Agricola,Vigna Quintodecimo,44.9,59.4,52.2,0.0,0.0
Vigne di Malies di Foschini Flaviano,cabernet s pietraorlando fivi,37.3,59.3,48.3,26.73,2.82
TIKVES - PRIVATNO LOZJE,Temjanika - Menca Nikolova - 021630044,44.7,59.1,51.9,2.83,0.29
Alzatura,sagrantino,42.4,59.1,50.8,88.47,12.91
Az. Agr. Luigi Maffini,Cenito Basso Fiano,37.9,59.1,48.5,44.47,5.19
Mazzaporro,Genovese Chardonnay 2021,42.2,59.0,50.6,0.0,0.0
Piroddi Agricoltura s.s.a.,Cannonau Racugno 2,38.8,59.0,48.9,0.88,0.04
Alta Mora - Etna,Carricante 1_Piazzola Arrigo,42.1,58.9,50.5,0.0,0.0
Scacciadiavoli,sagrantino amilcare,39.8,58.6,49.2,91.43,14.19
Gaja,Belbasso,38.7,58.5,48.6,0.0,0.0
az Ag Morella di Gilbee Lisa Jane,la signora,43.9,58.4,51.2,4.83,0.54
az Ag Morella di Gilbee Lisa Jane,blocco 2 primitivo,43.9,58.4,51.2,4.83,0.54
TIKVES - PRIVATNO LOZJE,Vranec,46.8,58.4,52.6,0.0,0.0
SINISCOLA_FRONTEDDU_COOP SANT'ELENA_UNISS,zona casa,38.2,58.4,48.3,0.37,0.02
Cantina Mesa Soc.Agricola,Ver Masai,42.5,58.4,50.4,0.0,0.0
TIKVES - PRIVATNO LOZJE,Pinot Grigio - Vinarija POPOV Sopot - 02172381,45.4,58.3,51.8,0.0,0.0
GIANFRANCO FINO,SALENTO,43.7,58.2,50.9,4.83,0.54
La Collina del Tesoro società semplice agricola,SANGIOVESE PINETA,37.0,58.1,47.5,85.5,34.18
Gaja,Biancavilla ,43.1,58.0,50.5,1.4,0.07
TIKVES - LEPOVO,Cabernet Sauvignon - Star nasad LEPOVO,45.3,57.9,51.6,0.0,0.0
TIKVES - LEPOVO,Chardonnay 4,45.5,57.6,51.5,0.0,0.0
Donna Contessa,Nero d'Avola Ulivi_Roccella,47.2,57.5,52.4,0.0,0.0
Donna Contessa,grillo,47.2,57.5,52.4,0.0,0.0
Fattoria Giro di Vento,Vermentino - sopraulivi ,35.7,57.5,46.6,82.86,9.66
Mazzaporro,Mer - Spallierina,43.5,57.4,50.5,0.0,0.0
TIKVES - BAROVO,Traminec (nad kuka) - Brlovec,45.1,57.4,51.2,0.37,0.02
Masseria Cuturi,Primitivo 2009 - 1A,42.8,57.3,50.0,4.83,0.54
TERRE NERE,ETNA,48.2,57.2,52.7,2.33,0.26
TIKVES - DEMIR KAPIJA,Cabernet Sauvignon - Cabernet Sauvignon Koral,46.0,57.2,51.6,0.18,0.01
TIKVES - BAROVO,Before planting Sauvignon,44.4,57.2,50.8,0.37,0.02
Tupputi Giuseppe,Chardonnay tendone,44.2,57.1,50.7,38.87,4.02
Chiorri,grechetto G5 cozzari,42.2,57.1,49.6,70.91,12.56
Viviano Luigia,Syrah 2010 - sx basso,43.1,57.0,50.1,0.0,0.0
Ruffo della Scaletta,Ciliegiolo_Castellaccio,35.8,57.0,46.4,82.86,9.66
TIKVES - VELES,Afus Ali,45.9,56.8,51.4,4.33,0.51
Tenuta San Giacomo Butera,Syrah 25/26/27/28_San Giacomo Sud Est,45.2,56.8,51.0,0.0,0.0
Viviano Luigia,Inzolia -cannamasca,43.2,56.6,49.9,0.0,0.0
TIKVES - MANASTIREC,Vranec - Vranec Izgoreni Kopi,48.8,56.6,52.7,0.0,0.0
ARGYRIOU WINERY,Malvasia Aromatica,46.1,56.4,51.3,0.0,0.0
Fattorie Novelli,Tebbiano Spoletino_cerque strette,37.8,56.4,47.1,84.22,14.45
Masciarelli - Provincia dell'Aquila,Cf San Silvestro,46.2,56.3,51.3,41.4,4.74
JERZU_LOCCI_SERRAU ANNA FRANCA_UNISS,Confronto Clonale Cannonau,42.1,56.2,49.2,0.88,0.04
Alessandro Giarraputo,Pinot Grigio h1 2021,42.8,56.1,49.5,0.0,0.0
Cloudy Bay,Marlborough,56.0,29.5,42.7,73.11,11.2
TIKVES - PRIVATNO LOZJE,Riesling - Ludija Vaseleva - 02170377,49.5,55.9,52.7,0.0,0.0
Cantina Marramiero,Pinot Nero Ofena,44.9,55.5,50.2,41.4,4.74
Mottura vini del Salento,Aglianico,44.5,55.5,50.0,0.37,0.02
Capelands Estate,Stellenbosch,55.3,32.6,43.9,0.0,0.0
TIKVES - VALANDOVO,Kardinal - Kalkovo,48.8,55.2,52.0,0.0,0.0
TIKVES - VENEC DISAN,Vranec - Vesje Disan - Vranec mlad Veshje,49.4,54.9,52.1,0.0,0.0
Sebastiano Polinas,Cannonau Monte Santo,39.4,54.7,47.0,3.62,0.33
TIKVES - BAROVO,Traminer (Przol) - Cemersko,47.8,54.3,51.0,0.37,0.02
TIKVES - VELES,Kadarka,47.0,54.3,50.7,4.33,0.51
TIKVES - VELES,Traminer - R.E. Bela Voda,47.1,54.3,50.7,4.33,0.51
Alta Mora - Etna,Carr_Quota mille,47.9,54.1,51.0,2.33,0.26
Ridge Vineyards,Santa Cruz Mountains,54.0,40.7,47.4,,
SIMCO,Pinot Noir - B 1,54.0,33.8,43.9,,
TIKVES - VELES,Merlot - Ramnik,47.3,53.5,50.4,4.33,0.51
Kyperounda Winery,Syrah pigi,53.4,44.8,49.1,8.97,0.89
Marta Valpiani di Mazzavillani Elisa e M ss,Albana - Vigna Elisa - Casalino,40.8,53.2,47.0,88.14,29.82
Azienda Agricola Rolli,lambrusco,45.2,53.0,49.1,0.0,0.0
TIKVES - BAROVO,Cabernet Sauvignon - Kosuta,47.3,53.0,50.1,0.37,0.02
MASTROBERARDINO,RADICI TAURASI,47.1,52.8,50.0,86.88,14.96
TIKVES - VALANDOVO,Ribier - Goren,50.6,52.6,51.6,0.0,0.0
TIKVES - VALANDOVO,"Kardinal - 1,2",50.6,52.6,51.6,0.0,0.0
TIKVES - PRIVATNO LOZJE,Merlot - МОН-ТОН - 02173855,49.6,52.5,51.0,0.0,0.0
TIKVES - VELES,"Star Plavec ,Vranec Mesan nasad - R.E BABUNA",52.4,50.4,51.4,4.33,0.51
SPIRITI EBBRI,CALABRIA,52.4,41.2,46.8,19.63,2.17
TIKVES - VALANDOVO,Cabernet Sauvignon - Pirava,51.1,52.2,51.6,0.0,0.0
Kyperounda Winery,Shiraz 2024,52.2,43.9,48.1,8.97,0.89
TIKVES - BAROVO,Sauvignon Blanc - Djonovec,48.6,52.1,50.3,0.37,0.02
TIKVES - VALANDOVO,Reisling - Cabernet Sauvignon,51.1,52.0,51.6,0.0,0.0
TIKVES - BAROVO,Smederevka - Oranicite,48.1,52.0,50.0,0.18,0.01
TIKVES - PRIVATNO LOZJE,Chardonnay - ЗЗ Овоштар - 02172257,49.7,51.9,50.8,0.0,0.0
TIKVES - VELES,Kolombard 2020 god.nad Star Plavec- R.E BABUNA,51.8,50.4,51.1,0.0,0.0
Alta Mora - Etna,Carr 2021_Passo cannone,43.0,51.6,47.3,0.0,0.0
Harlan Estate,Napa valley,38.3,51.3,44.8,0.0,0.0
Jhon Bygot Winery,cab sauv new,37.8,51.3,44.6,0.0,0.0
Michael Wolf,Block 5 - CS,38.9,51.1,45.0,0.0,0.0
TIKVES - GEVGELIJA,Vranec - Nerzina do stopanski dvor,49.2,51.0,50.1,0.0,0.0
Alta Mora - Etna,NerMasc 2013_Guardiola,44.3,50.7,47.5,0.0,0.0
TIKVES - GEVGELIJA,Muskat Hamburg,49.1,50.6,49.9,0.0,0.0
TIKVES - BAROVO,Kratosia - Meckovec,50.5,49.6,50.0,0.37,0.02
DEMO SouthAfrica,syrah 01,50.4,42.0,46.2,0.0,0.0
Michael Wolf,Block 6B - CS,50.3,42.2,46.2,0.0,0.0
Penfolds,Barossa Valley,49.2,35.8,42.5,68.3,13.25
Mondavi,Napa valley,39.3,48.9,44.1,0.0,0.0
Michael Wolf,Block 1 - CS 04/110R,39.1,47.4,43.3,0.0,0.0
Covert estate llc,Cabernet Sauvignon Covert,41.6,47.2,44.4,0.0,0.0
